ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
6__110887505__110888983__6:110887505|110888983	0.0612	0.0308	0	0.0232	0.0381	0.06	0.0171	0.0204	0	0.0716	0.0596	0	0.0316	0.0581	0.0768	0.0365	0.0932	0	0.0239	0.0208	0	0.0515	0.0444	0	0.0639	0.0341	0	0.102	0.0522	0.0159	0.0519	0	0.0314	0.0158	0.0895	0.0539	0	0.0397	0	0
6__110887505__110890356__6:110887505|110890356	0.0816	0.1692	0.1244	0.2553	0.0953	0.03	0.0684	0	0.149	0.2863	0.2185	0.103	0.2688	0.3677	0.1729	0.0912	0.2237	0.1408	0.0956	0.1038	0.1369	0.2835	0.1926	0.1538	0.0639	0.1535	0.0658	0.1836	0.0697	0.1912	0.1556	0.1773	0.1571	0.0158	0.0596	0.2872	0.1446	0.1057	0.085	0.152
6__110960414__110962505__6:110960414|110962505	0.0408	0.0154	0.1036	0.0696	0.0572	0	0	0.0408	0.0372	0.0239	0.0397	0.0412	0.0316	0.0968	0	0	0.0559	0.0805	0.1195	0.0415	0.1369	0.0515	0.0444	0.0308	0.0319	0.0853	0	0.0612	0.0697	0.0319	0.0691	0.0394	0.0628	0.0475	0	0.0359	0.1266	0.0264	0	0
6__111172695__111177665__6:111172695|111177665	0.1223	0.2308	0.1244	0.1277	0.0953	0.1501	0	0.1837	0.1304	0.334	0.0794	0.1442	0.1265	0.2129	0.096	0.1641	0.1305	0.1207	0.0956	0.0831	0.1027	0.1546	0.1185	0.123	0.1118	0.2047	0.263	0.2857	0.0522	0.1115	0.121	0.2364	0.2121	0.1584	0.1193	0.2872	0.1085	0.1057	0.1488	0.2171
6__111177212__111177665__6:111177212|111177665	0.0408	0.0615	0	0.058	0.0953	0.0901	0.0171	0.0204	0.0745	0.0716	0.0794	0.0206	0.0158	0.0581	0.1152	0.0182	0.0373	0.0604	0	0.1038	0	0.0515	0.0593	0.0461	0.0639	0.1023	0.0438	0.1224	0.0522	0.0478	0.0346	0.0591	0.055	0.1584	0.0298	0.0539	0.0542	0.0793	0.0213	0.0651
6__111262257__111263946__6:111262257|111263946	0.102	0.2308	0.1244	0.2437	0.2478	0.2702	0.1367	0.0612	0.1117	0.3101	0.2979	0.1854	0.2688	0.5807	0.2305	0.1094	0.2424	0.2616	0.0239	0.2077	0.1711	0.232	0.2815	0.1538	0.2714	0.29	0.285	0.6121	0.209	0.1912	0.2766	0.3547	0.2435	0.0951	0.1491	0.3052	0.217	0.2643	0.1701	0.2171
6__111405470__111472140__6:111405470|111472140	0.102	0.0462	0.1036	0.0116	0.0953	0.045	0	0.0612	0.1304	0.1193	0.0596	0.0618	0.0949	0.0774	0.0768	0.1459	0.0373	0.0604	0.0478	0.1246	0.1027	0.0515	0	0.0461	0.0798	0.0853	0	0.102	0.1045	0.0956	0.0864	0.0788	0.055	0.0317	0.0895	0.1616	0.0723	0.0264	0.0638	0
6__116689320__116692156__6:116689320|116692156	0.102	0.2154	0.1036	0.0116	0.0191	0.2252	0.0171	0.0408	0	0.2863	0.0397	0	0.0632	0.2129	0.1536	0.0912	0.0932	0	0.0239	0.1038	0.0685	0.1031	0.0593	0.0615	0.1916	0.1706	0	0.2653	0.0348	0.1275	0.0173	0.0985	0.1964	0.0317	0	0.377	0.1808	0.1454	0.2551	0.0217
6__116689320__116692392__6:116689320|116692392	2.039	3.154	3.1504	3.0525	2.1732	3.2724	1.7777	1.3264	1.4712	4.5562	3.1778	2.8016	3.0037	5.2065	3.2074	2.7536	2.4612	2.9779	2.0563	2.8864	2.6698	3.3248	2.148	2.5986	3.4649	2.7291	2.7181	4.7746	2.0025	2.2465	3.3186	2.4826	3.3936	2.1705	2.0574	4.8113	2.2238	2.3394	2.2959	2.4315
6__116689320__116705160__6:116689320|116705160	0.4078	0.3692	0.5596	0.3714	0.4003	0.6305	0.3419	0.2449	0.2793	0.6679	0.3972	0.5974	0.4268	1.0452	0.4801	0.4194	0.4288	0.6036	0.3586	0.4153	0.445	0.3093	0.3259	0.492	0.3673	0.4094	0.5042	0.959	0.296	0.5258	0.484	0.532	0.4321	0.3961	0.3578	0.6643	0.4339	0.3436	0.4677	0.4559
6__116692055__116726622__6:116692055|116726622	0.0816	0.1385	0.1865	0.1161	0.0763	0.1051	0.0855	0.0612	0.0745	0.167	0.1788	0.0618	0.079	0.1936	0.0768	0.0729	0.0373	0.1207	0.0717	0.0623	0.1027	0.1289	0.1185	0.123	0.1916	0.1194	0.1096	0.1428	0.0697	0.1275	0.1728	0.1773	0.055	0.1267	0.0596	0.1077	0.0904	0.0793	0.1063	0.152
6__116698704__116705160__6:116698704|116705160	0.836	1.077	1.0778	1.033	1.0104	1.5161	0.547	0.7142	0.7077	1.479	0.9931	1.2772	1.075	2.0903	1.1139	1.1489	0.7272	1.2676	0.6695	1.0798	1.3691	1.2114	0.9777	0.8765	1.2774	0.9211	1.0083	1.816	1.0274	1.0356	1.1235	1.1034	1.249	0.8872	0.7156	2.0107	0.7774	0.9252	1.0629	0.8901
6__118479871__118483858__6:118479871|118483858	0.1223	0.1231	0.1036	0.0929	0.0381	0.0901	0.0513	0.1224	0	0.1193	0.0596	0.1442	0.1107	0.1355	0.0384	0.0729	0.0559	0.1408	0.0717	0.1038	0	0.1289	0.0444	0.1076	0.0479	0	0.1534	0.1428	0.0348	0.0797	0.121	0.0394	0.0707	0.0475	0.0596	0.1257	0.0542	0	0.0213	0.0217
6__118511298__118523920__6:118511298|118523920	0.0612	0.0154	0.0207	0	0.0191	0	0.0342	0.0204	0	0.0477	0	0.0824	0.0158	0.0968	0	0	0.0373	0.1006	0.0239	0	0.0342	0.0258	0.0148	0.0769	0.0479	0	0	0.0816	0.0522	0	0	0.0197	0.055	0	0.0298	0.0898	0.0181	0.0132	0.085	0
6__118511298__118566316__6:118511298|118566316	0.1427	0.1231	0.1658	0.1509	0.0763	0.2402	0	0.102	0.0559	0.2624	0.0993	0.0824	0.1581	0.1161	0.1536	0.1094	0.0746	0.1811	0.0717	0.1038	0	0.1289	0.1037	0.123	0.1437	0.0682	0.1315	0.2448	0.1219	0.1593	0.0519	0.1182	0.1335	0.0634	0.1193	0.1975	0.1085	0.0397	0.2338	0.0434
6__127812883__127813931__6:127812883|127813931	0.1223	0.0769	0.0622	0.0696	0	0.1051	0.0171	0.0204	0.0559	0.0477	0	0.1854	0.1107	0.0968	0.0768	0.0912	0.0932	0.161	0.0478	0.2284	0.0342	0.1289	0.0889	0.0923	0.0798	0	0.0438	0.0204	0.1393	0.0637	0.0519	0	0.0786	0.0158	0	0.0898	0	0.0925	0.1063	0.1303
